VARIABLENAME,VARIABLEDESCRIPTION,DATAFILE
AADT,ANNUAL AVERAGE DAILY TRAFFIC,Roadway
BARRIER,BARRIER,Roadway
DIVIDED,DIVIDED,Roadway
LL_ADD,LOWER LEFT ADDRESS,Roadway
LR_ADD,LOWER RIGHT ADDRESS,Roadway
MEDIAN,MEDIAN,Roadway
NUMBEROFLA,NUMBER OF LANES,Roadway
ONEWAY,ONEWAY,Roadway
PAVEMENTWI,PAVEMENT WIDTH,Roadway
RODWYCLS,ROADWAY CLASS,Roadway
ROADTYPE,ROAD TYPE,Roadway
LENGTH,SEGMENT LENGTH,Roadway
SPEEDHUMP,SPEED HUMP,Roadway
SPEEDLIMIT,SPEED LIMIT,Roadway
STANDTYPE,STAND TYPE,Roadway
STREETCLAS,STREET CLASSIFICATION,Roadway
STREETNAME,STREET NAME,Roadway
STREETTYPE,STREET TYPE,Roadway
SUFFIX,SUFFIX DIRECTION,Roadway
THOROUGHFA,THOROUGH FARE,Roadway
UL_ADD,UPPER LEFT ADDRESS,Roadway
UR_ADD,UPPER RIGHT ADDRESS,Roadway
WHOLESTNAME,WHOLE STREET NAME,Roadway
ALIGN,ALIGNMENT,Crash
CASE_NUM,CASE NUMBER,Crash
CNST_ACT,CONSTRUCTION ACTIVITY,Crash
CNST_TYPE,CONSTRUCTION TYPE,Crash
CRSH_ID,CRASH ID,Crash
CRSH_LEVL,CRASH SEVERITY,Crash
MILT_TIME,CRASH TIME,Crash
CRASH_TYPE,CRASH TYPE,Crash
DATE_VAL,DATE OF CRASH,Crash
DATE_VAL_D,DAY OF THE CRASH,Crash
DATE_VAL_W,DAY OF WEEK,Crash
LATITUDE,LATITUDE,Crash
LIT,LIGHT CONDITION,Crash
LONGITUDE,LONGITUDE,Crash
DATE_VAL_M,MONTH OF CRASH,Crash
NARRATIVE,NARRATIVE,Crash
NUM_FATL,NUMBER OF FATALITIES,Crash
NUM_INJY,NUMBER OF INJURIES,Crash
NUM_LNS,NUMBER OF LANES,Crash
NUM_INJY_C,NUMBER OF POSSIBLE INJURIES,Crash
NUM_INJY_B,NUMBER OF SUSPECTED MINOR INJURIES,Crash
NUM_INJY_A,NUMBER OF SUSPECTED SERIOUS INJURIES,Crash
PRIMARY,PRIMARY CAUSE,Crash
RD_RLTN,RELATION TO ROADWAY,Crash
RD_COND,ROAD CONDITION,Crash
RD_SURF,,Crash
RDWY_AREA,ROADWAY AREA,Crash
SECONDARY,SECONDARY CAUSE,Crash
TRFC_CTRL,TRAFFIC CONTROL,Crash
URBAN_RU,URBAN RURAL DESCRIPTION,Crash
WTHR,WEATHER,Crash
DATE_VAL_Y,YEAR OF CRASH,Crash
CONTRIB_FACTOR1,CONTRIBUTING FACTOR1,Unit
CONTRIB_FACTOR2,CONTRIBUTING FACTOR2,Unit
CONTRIB_FACTOR3,CONTRIBUTING FACTOR3,Unit
CRSH_ID,CRASH ID,Unit
HARM_EVNT1,HARMFUL EVENT1,Unit
HARM_EVNT2,HARMFUL EVENT2,Unit
HARM_EVNT3,HARMFUL EVENT3,Unit
HARM_EVNT4,HARMFUL EVENT4,Unit
HARM_EVNT5,HARMFUL EVENT5,Unit
PRR_ACTN,PRIMARY ACTION,Unit
SPD_LIMT,SPEED LIMIT,Unit
UNIT_NUM,UNIT NUMBER,Unit
UNIT_TYPE,UNIT TYPE,Unit
VEHC_TYPE,VEHICLE TYPE,Unit
CRSH_ID,CRASH ID,Person
HZRD_ACTN,CONTRIBUTING ACTION,Person
RSTR_USE,DRIVER OR OCCUPANT RESTRAINT,Person
PRTY_EJCT,EJECTION INDICATOR,Person
INJY_SVTY,INJURY SEVERITY,Person
PRTY_TYPE_DESC,PARTY TYPE DESCRIPTION,Person
PRTY_AGE,PERSON AGE,Person
GNDR_DESC,PERSON SEX,Person
POS,POSITION,Person
UNIT_NUM,UNIT NUMBER,Person
CONTROLTYP,INTERSECTION NODE TYPE,Intersection
INTERSECTI,INTERSECTION NUMBER,Intersection
LAT,LATITUDE,Intersection
LON,LONGITUDE,Intersection
STREETS,STREETS AT INTERSECTION,Intersection
STUNITID1,STREET UNIT ID 1,Intersection
STUNITID2,STREET UNIT ID 2,Intersection
STUNITID3,STREET UNIT ID 3,Intersection
XCOORD,X COORDINATE,Intersection
YCOORD,Y COORDINATE,Intersection
BIKE_LANES,BIKE LANES,BicycleLane
LANE_NOTES,LANE NOTES,BicycleLane
LENGT_MILE,LENGTH OF BIKE LANE,BicycleLane
SIDEOFSTRE,SIDE OF THE STREET,BicycleLane
WHOLESTNAM,STREET NAME,BicycleLane
TOTALWIDTH,TOTAL WIDTH,BicycleLane
YEAR_BUILT,YEAR BUILT,BicycleLane
ASSETID,ASSET ID,Sidewalk
BEG_DESC,BEGINNING OF SIDEWALK DESCRIPTION,Sidewalk
COMMENTS,COMMENTS ON THE SIDEWALK,Sidewalk
END_DESC,END OF SIDEWALK DESCRIPTION,Sidewalk
ASSETDESC,,Sidewalk
LOCATION,LOCATION OF THE SIDEWALK,Sidewalk
STREET,STREET,Sidewalk
WIDTH,WIDTH OF SIDEWALK,Sidewalk
COMPLETION,DATE OF COMPLETION,Greenway
MILES,LENGTH,Greenway
MEMO,LOCATION,Greenway
TRAIL_NAME,TRAIL NAME,Greenway
TRAIL_SURF,TRAIL SURFACE,Greenway
TRAIL_TYPE,TYPE OF TRAIL,Greenway
ROUTE_NAME,ROUTE NAME,BusRoute
ROUTE_NUM,ROUTE NUMBER,BusRoute
ROUTE_TYPE,ROUTE TYPE,BusRoute
DIRECTION,DIRECTION,BusStop
Y,LATITUDE,BusStop
POLE_LOCAT,LOCATION OF THE POLE,BusStop
X,LONGITUDE,BusStop
NEAREST_IN,NEAREST INTERSECTION,BusStop
BENCH,PRESENCE OF BENCH,BusStop
SHELTER,PRESENCE OF SHELTER,BusStop
ROUTES,ROUTES,BusStop
SIDEWALK,SIDEWALK,BusStop
STOPDESC,STOP DESCRIPTION,BusStop
STOPID,STOP ID,BusStop
TRANS_P,TRANSFER POINT,BusStop
TRASHCANS,TRASHCANS,BusStop
LENGTH,LENGTH,LightRailRoute
PROJECT_DE,PROJECT DESCRIPTION,LightRailRoute
TRACKDESCR,TRACK NAME,LightRailRoute
ADDRESS,ADDRESS OF THE LIGHT RAIL STATION,LightRailStop
BIKELOCKER,BIKE LOCKER AVAILABILITY,LightRailStop
BIKERACK,BIKE RACK AVAILABILITY,LightRailStop
X,GEOGRAPHIC LOCATION X COORDINATE,LightRailStop
Y,GEORGRAPHIC LOCATION Y COORDINATE,LightRailStop
STATIONTYP,LIGHT RAIL LINE,LightRailStop
PLATFORM,LOCATION OF THE PLATFORM,LightRailStop
NAME,NAME OF THE LIGHT RAIL STATION,LightRailStop
PARKSPACES,NUMBER OF PARKING SPACES,LightRailStop
PARKNRIDE,PARK AND RIDE AVAILABILITY,LightRailStop
ZIPCODE,ZIP CODE OF THE LIGHT RAIL STATION,LightRailStop
CONNECTY,CONNECTION TYPE,RailroadLine
INSERVICE,IN SERVICE,RailroadLine
OPERATOR,OPERATING ORGANIZATION,RailroadLine
NAME,OPERATING ORGANIZATION Đ FULL NAME,RailroadLine
OUTSERVICE,OUT SERVICE,RailroadLine
OWNER,OWNERSHIP ORGANIZATION,RailroadLine
OWNERLONG,OWNERSHIP ORGANIZATION Đ FULL NAME,RailroadLine
HSR,PRESENCE OF HIGH SPEED RAIL,RailroadLine
PASSSERVIC,PRESENCE OF PASSENGER SERVICE,RailroadLine
TRACKTYPE,TYPE OF TRACK,RailroadLine